Clip_ID,Frame_Index,X,Y,Confidence
0,0,0,0,-3
0,1,0,0,-3
0,2,0,0,-3
0,3,0,0,-3
0,4,0,0,-3
0,5,0,0,-3
0,6,0,0,-3
0,7,0,0,-3
0,8,0,0,-3
0,9,0,0,-3
0,10,0,0,-3
0,11,0,0,-3
0,12,0,0,-3
0,13,0,0,-3
0,14,0,0,-3
0,15,0,0,-3
0,16,0,0,-3
0,17,0,0,-3
0,18,0,0,-3
0,19,0,0,-3
0,20,0,0,-3
0,21,0,0,-3
0,22,0,0,-3
0,23,0,0,-3
0,24,0,0,-3
0,25,0,0,-3
0,26,0,0,-3
0,27,0,0,-3
0,28,0,0,-3
0,29,0,0,-3
1,30,110,559,0.8193017840385437
1,31,133,527,0.8772473931312561
1,32,153,522,0.8917616009712219
1,33,172,531,0.9135891795158386
1,34,186,533,0.9132540225982666
1,35,197,534,0.9102786183357239
1,36,206,534,0.9073408842086792
1,37,215,534,0.9291961193084717
1,38,224,534,0.9184605479240417
1,39,239,534,0.9258950352668762
1,40,257,533,0.9191896319389343
1,41,268,534,0.91957026720047
1,42,283,534,0.9109393358230591
1,43,303,534,0.8734095692634583
1,44,332,534,0.937269926071167
1,45,355,534,0.9268069863319397
1,46,381,534,0.9119348526000977
1,47,410,534,0.8910859227180481
1,48,443,535,0.9039232730865479
1,49,473,534,0.9073750376701355
1,50,505,534,0.9055940508842468
1,51,543,534,0.9196597337722778
1,52,573,534,0.9163396954536438
1,53,599,535,0.9163801670074463
1,54,621,533,0.9307704567909241
1,55,641,533,0.9240905046463013
1,56,661,534,0.9292402863502502
1,57,680,536,0.9249506592750549
1,58,698,537,0.9209166765213013
1,59,719,540,0.9091750383377075
1,60,736,543,0.9209961295127869
1,61,751,547,0.9132266640663147
1,62,765,553,0.9219449162483215
1,63,774,559,0.9122300744056702
1,64,786,563,0.8981401324272156
1,65,800,566,0.8978009819984436
1,66,814,567,0.8995932340621948
1,67,828,568,0.9077740907669067
1,68,843,568,0.8758252859115601
1,69,861,567,0.8697113990783691
1,70,879,564,0.8349031209945679
1,71,896,554,0.8420949578285217
1,72,913,561,0.8776271939277649
1,73,927,571,0.8657207489013672
1,74,941,574,0.8742532730102539
1,75,953,576,0.8677082061767578
1,76,965,577,0.8429965376853943
1,77,986,578,0.8931902647018433
1,78,1019,580,0.8571845889091492
1,79,1039,582,0.8584645390510559
1,80,1031,582,0.8553500771522522
1,81,1042,585,0.8087782263755798
1,82,1053,582,0.8384592533111572
1,83,1065,582,0.8691608905792236
1,84,1078,579,0.9113638997077942
1,85,1089,585,0.8453294038772583
1,86,1101,582,0.8606183528900146
1,87,1111,575,0.8712958097457886
1,88,1119,573,0.8747779726982117
1,89,1125,572,0.8523409366607666
1,90,1127,573,0.8413394689559937
1,91,1133,578,0.8868734836578369
1,92,1141,582,0.8760865926742554
1,93,1150,582,0.8797953724861145
1,94,1156,584,0.8932609558105469
1,95,1159,585,0.8975856900215149
1,96,1161,586,0.907148003578186
1,97,1161,588,0.9032074809074402
1,98,1163,588,0.9032260179519653
1,99,1163,589,0.9058650135993958
1,100,1165,585,0.9243976473808289
1,101,1167,588,0.9071328639984131
1,102,1172,589,0.9024340510368347
1,103,1175,589,0.9047860503196716
1,104,1178,590,0.8994919657707214
1,105,1179,590,0.9042803049087524
1,106,1178,591,0.9076865911483765
1,107,1174,592,0.9101083874702454
1,108,1169,593,0.9079132080078125
1,109,1163,592,0.9222927093505859
1,110,1156,591,0.9202495217323303
1,111,1148,584,0.9328928589820862
1,112,1140,589,0.9136970639228821
1,113,1135,589,0.901199460029602
1,114,1130,591,0.9010539054870605
1,115,1124,593,0.8864151239395142
1,116,1117,595,0.8845657110214233
1,117,1113,597,0.894936740398407
1,118,1105,599,0.9054251313209534
1,119,1099,602,0.9063740372657776
1,120,1100,602,0.903242290019989
1,121,1095,606,0.9105823636054993
1,122,1086,608,0.8984841108322144
1,123,1090,616,0.9237515330314636
1,124,1082,624,0.8559439182281494
1,125,1082,630,0.9042502045631409
1,126,1076,638,0.8655726909637451
1,127,1069,650,0.8415573835372925
1,128,1062,665,0.8641200661659241
1,129,1059,675,0.8351428508758545
1,130,1062,686,0.8528479933738708
1,131,1062,686,-1
1,132,1047,705,0.8287462592124939
1,133,1047,705,-1
1,134,1047,705,-1
1,135,1047,705,-1
1,136,1047,705,-1
1,137,1047,705,-1
1,138,0,0,-2
1,139,0,0,-2
1,140,0,0,-2
1,141,0,0,-2
1,142,0,0,-2
1,143,0,0,-2
1,144,0,0,-2
1,145,0,0,-2
1,146,0,0,-2
1,147,0,0,-2
1,148,0,0,-2
1,149,958,617,0.802456259727478
1,150,958,617,-1
1,151,958,617,-1
1,152,958,617,-1
1,153,958,617,-1
1,154,958,617,-1
1,155,0,0,-2
1,156,0,0,-2
1,157,0,0,-2
1,158,972,615,0.8239548206329346
1,159,972,615,0.8225498199462891
1,160,973,616,0.8185386657714844
1,161,973,617,0.8119182586669922
1,162,973,617,-1
1,163,973,617,-1
1,164,973,617,-1
