Track ID,Frame Index,X,Y
20,0,0,0
20,1,0,0
20,2,0,0
20,3,0,0
20,4,0,0
20,5,0,0
20,6,0,0
20,7,0,0
20,8,0,0
20,9,0,0
20,10,0,0
20,11,0,0
20,12,0,0
20,13,0,0
20,14,0,0
20,15,0,0
20,16,0,0
20,17,0,0
20,18,0,0
20,19,0,0
20,20,0,0
20,21,0,0
20,22,0,0
20,23,0,0
20,24,0,0
20,25,0,0
20,26,0,0
20,27,0,0
20,28,0,0
20,29,0,0
20,30,0,0
20,31,0,0
20,32,0,0
20,33,0,0
20,34,0,0
20,35,0,0
20,36,0,0
20,37,0,0
20,38,0,0
20,39,0,0
20,40,0,0
20,41,0,0
20,42,0,0
20,43,0,0
20,44,0,0
20,45,0,0
20,46,0,0
20,47,0,0
20,48,0,0
20,49,0,0
20,50,0,0
20,51,0,0
20,52,0,0
20,53,0,0
20,54,0,0
20,55,0,0
20,56,0,0
20,57,0,0
20,58,0,0
20,59,0,0
20,60,0,0
20,61,0,0
20,62,0,0
20,63,0,0
20,64,0,0
20,65,0,0
20,66,0,0
20,67,0,0
20,68,0,0
20,69,0,0
20,70,0,0
20,71,87,447
20,72,87,447
20,73,92,428
20,74,92,430
20,75,92,430
20,76,92,431
20,77,100,431
20,78,107,428
20,79,121,427
20,80,137,427
20,81,137,427
20,82,200,425
20,83,227,425
20,84,240,427
20,85,240,427
20,86,242,435
20,87,250,433
20,88,251,430
20,89,256,430
20,90,271,429
20,91,297,426
20,92,297,426
20,93,362,415
20,94,362,415
20,95,362,415
20,96,362,415
20,97,362,415
20,98,362,415
20,99,510,365
20,100,524,358
20,101,524,358
20,102,587,378
20,103,587,378
20,104,624,393
20,105,638,406
20,106,671,423
20,107,693,436
20,108,693,442
20,109,708,455
20,110,700,463
20,111,696,474
20,112,695,478
20,113,699,486
20,114,702,484
20,115,708,488
20,116,717,490
20,117,729,492
20,118,743,492
20,119,756,493
20,120,764,494
20,121,772,494
20,122,777,494
20,123,782,493
20,124,783,492
20,125,784,491
20,126,783,493
20,127,782,495
20,128,782,501
20,129,781,506
20,130,779,511
20,131,777,516
20,132,774,522
20,133,770,528
20,134,766,534
20,135,762,541
20,136,759,547
20,137,755,555
20,138,753,561
20,139,750,565
20,140,748,569
20,141,747,575
20,142,747,579
20,143,745,582
20,144,743,584
20,145,739,585
20,146,733,586
20,147,725,585
20,148,718,585
20,149,712,584
20,150,705,582
20,151,698,580
20,152,693,579
20,153,690,577
20,154,688,576
20,155,686,575
20,156,686,577
20,157,685,578
20,158,685,579
20,159,685,578
20,160,686,578
20,161,686,578
20,162,687,578
20,163,688,578
20,164,688,578
20,165,688,578
20,166,689,578
20,167,690,578
20,168,690,578
20,169,691,578
20,170,691,577
20,171,692,577
20,172,692,577
20,173,692,577
20,174,693,577
20,175,694,577
20,176,694,577
20,177,695,579
20,178,695,580
20,179,695,580
20,180,695,579
20,181,696,581
20,182,698,580
20,183,700,572
20,184,703,565
20,185,706,564
20,186,708,567
20,187,709,571
20,188,712,574
20,189,714,581
20,190,717,589
20,191,719,594
20,192,723,598
20,193,725,600
20,194,726,601
20,195,729,601
20,196,743,599
20,197,749,596
20,198,752,593
20,199,756,590
20,200,760,584
20,201,763,576
20,202,765,569
20,203,767,560
20,204,770,551
20,205,769,542
20,206,770,530
20,207,772,519
20,208,772,508
20,209,776,498
20,210,779,493
20,211,784,492
20,212,782,491
20,213,783,492
20,214,785,493
20,215,784,492
20,216,786,493
20,217,787,494
20,218,787,493
20,219,785,494
20,220,785,496
20,221,784,497
20,222,783,497
20,223,781,497
20,224,776,494
20,225,769,493
20,226,765,494
20,227,760,495
20,228,757,494
20,229,755,494
20,230,754,495
20,231,753,495
20,232,751,493
20,233,746,492
20,234,739,492
20,235,730,494
20,236,718,494
20,237,707,494
20,238,695,493
20,239,682,492
20,240,682,492
20,241,682,492
20,242,682,492
20,243,682,492
20,244,682,492
20,245,682,492
20,246,682,492
20,247,682,492
20,248,682,492
20,249,682,492
20,250,682,492
20,251,682,492
20,252,682,492
20,253,682,492
20,254,682,492
20,255,682,492
20,256,682,492
20,257,405,408
20,258,386,409
20,259,364,413
20,260,342,417
20,261,327,420
20,262,327,420
20,263,309,461
20,264,304,450
20,265,287,431
20,266,287,431
20,267,287,431
20,268,287,431
20,269,287,431
20,270,287,431
20,271,287,431
20,272,287,431
20,273,287,431
20,274,287,431
20,275,287,431
20,276,287,431
20,277,287,431
20,278,287,431
20,279,287,431
20,280,287,431
20,281,287,431
20,282,287,431
20,283,287,431
20,284,287,431
20,285,287,431
20,286,287,431
20,287,287,431
20,288,287,431
20,289,287,431
20,290,287,431
20,291,287,431
20,292,287,431
20,293,287,431
20,294,287,431
20,295,287,431
20,296,287,431
20,297,287,431
20,298,287,431
20,299,287,431
20,300,287,431
20,301,287,431
20,302,287,431
20,303,287,431
20,304,287,431
20,305,287,431
